Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
,7/21/15,,,,,x,,,,,,,,,,,Holmes,Incoming Freshman,,,,
,7/28/15,,,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
Physics,8/13/15,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
Finance,8/14/15,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,,,,,Type 1 Diabetic,,Akers,Incoming Freshman,,,,
Engineering,8/14/15,,,,,x,x,,,,,,,,Legumes,,Akers,Incoming Freshman,,,,
Social Relations And Policy ,8/14/15,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
,8/14/15,,x,,,,,,,,,,,,,,Bailey,Incoming Freshman,,,,
Economics,8/14/15,,,,,x,x,,,,,,,,Nuts,,Brody,Incoming Freshman,,,,
,8/14/15,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Integrative Biology ,8/14/15,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Nueroscience,8/14/15,,x,,,x,,,,,,,,,,,Brody,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,,,,,Allergies,,Brody,Incoming Freshman,,,,
Japenese,8/14/15,,,,,,,,,,,,,,UC,,Brody,Incoming Freshman,,,,
Human Biology,8/14/15,x,,,,,,,,,,,x,,,,Case,Incoming Freshman,9/2/15,,,
Genomics & Molecular Genetics,8/14/15,,,,,,,,,,,,,,Tyramine,,Akers,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,x,,,,,,Snyder,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,,,,,,,Snyder,Incoming Freshman,,,,
Arts And Humanities,8/14/15,,,,,,,,,,x,,,,,,Snyder,Incoming Freshman,several,,,
Human Biology,8/14/15,,,,,,x,,,,,,,,,,Gilchrist,Incoming Freshman,,,,
Business,8/14/15,,x,,,,,,,,,,,,,,Holden,Incoming Freshman,,,,
,8/14/15,x,,,,,,,x,,,,,,,,Holden,Incoming Freshman,,,,
Education,8/14/15,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,,,,
,8/14/15,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,,,,
,8/14/15,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,,,,,Diabetic - CHO counting,,Holmes,Incoming Freshman,,,,
,8/14/15,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,,,,
Experience Architecture,8/14/15,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,,,,
,8/14/15,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Human Biology,8/14/15,,,,,,,,,,,x,,,,,Holmes,Incoming Freshman,12/16/15,,,
Zoology,8/14/15,x,,,,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Commincation,8/14/15,,,,x,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Interior Design,8/14/15,,x,,,x,,,,x,,,,,,,Hubbard,Incoming Freshman,,,,
Advertising ,8/14/15,,,,,,,,,x,,,,,,,Hubbard,Incoming Freshman,,,,
Nursing,8/14/15,,,,,,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
International Relations,8/14/15,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
,8/14/15,,,x,,x,,,,,,,,,,,McDonel,Incoming Freshman,,,,
Biomedical Laboratory Science,8/14/15,,x,,,,,,,x,,,,,,,McDonel,Incoming Freshman,,,,
,8/14/15,,,,x,x,,,,,,,,,Other,,Wilson,Incoming Freshman,,,,
,8/14/15,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,8/10/16,,,
Engineering,8/14/15,,,,,,,,,,,,,,Limited dairy,,Wilson,Incoming Freshman,,,,
,8/14/15,x,x,,,x,x,,,,,,,,Seeds,,Wilson,Incoming Freshman,,,,
Nutritional Sciences ,8/14/15,,,,,,,,,x,,,,,UC,,Wonders,Incoming Freshman,,,,
Journalism,8/14/15,,,,,,,,,x,,,,,,,Wonders,Incoming Freshman,,,,
Business ,8/14/15,,,,,x,x,,,,,,,,Nuts,,Wonders,Incoming Freshman,,,,
,8/14/15,,,,,,,,,x,,,,,,,Yakeley ,Incoming Freshman,,,,
Supply Chain Management,8/14/15,,,,,,,,,x,,,,,,,Yakeley ,Incoming Freshman,,,,
,8/14/15,,,,,,,,,,,x,,,,,Yakeley ,Incoming Freshman,,,,
Human Biology,8/14/15,,,,,,,,,,,,x,x,,,Unknown,Incoming Freshman,,,,
,8/20/15,,x,,x,,,,,x,,,,,,,Snyder,Unknown,,,,
Kinesiology,8/25/15,,,,,,,,,x,,,,,,,Unknown,Sophomore,,,,
Communication,8/26/15,,x,,,,,,,x,,,,,,,Shaw,Incoming Freshman,,,,
,8/28/15,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
,8/31/15,,,,,,x,,,,,,,,,,Holden,Freshman,,,,
,9/4/15,,,,,,,,,,,,,,Overweight,,Gallery,Junior,,,,
Engineering,9/6/15,,x,,,,,,,x,,,,,,,Case,Sophomore,6/2/16,,,
Media and Info,9/7/15,,,,,,,,,x,,,,,,,Snyder,Freshman,,,,
Neuroscience,9/9/15,,x,,,,,,,,,,,,,Had reaction at Akers,Akers,Sophomore,,,,
,9/10/15,,,,,,,,,,x,,,,,,Case,Sophomore,,,,
,9/10/15,,,,,,,,,,x,,,,,,Case,Freshman,,,,
"Linguistics, German, Slavic, Asian, African Languages",9/11/15,,,,,,,,,,,,,,Alcohol,,Brody,Employee,,,,
Horticulture,9/11/15,,,,,,,,,,x,,,,,,Brody,Sophomore,,,,
,9/14/15,,,,,x,x,,,,,,,,"Spinach, green beans, tofu, etc.",,Shaw,Sophomore,,,,
Human Devel And Family Studies,9/15/15,,,,,,,,,x,,,,,,,Case,Freshman,several,,,
Urban And Regional Planning,9/16/15,,,,,,,,,x,,,,,,,Landon,Freshman,6/2/16,,,
,9/18/15,,,,,,,,,,,,,,TBD,Chronic diarrhea when eating on campus,Akers,Unknown,,,,
Music Performance,9/18/15,,,,,,,,,x,,,,,,,Unknown,Prospective,,,,
Engineering,9/18/15,,,,,,,,,,,,,,,finding balanced options throughout campus,Unknown,Freshman,,,,
,9/23/15,,,,,,,,,x,,,,,,Had reaction at Akers,Akers,Senior,,,,
,9/28/15,,,,,,,,,x,,,,,,,Unknown,Prospective,,,,
Hospitality Business,9/30/15,,,,,,,,,,x,,,,,,Akers,Sophomore,,,,
,10/6/15,x,x,,,,,,,,,,,,Yeast intolerant,,Akers,Unknown,,,,
,10/7/15,,,,,,,,,x,,,,,,Son is celiac,Unknown,Prospective,,,,
 ,10/7/15,,,,,,,,,,x,,,,,,Unknown,Senior,,,,
College of Law,10/7/15,,,,,,,,,,,x,,,,,Unknown,Unknown,,,,
,10/27/15,,,,x,,,,,,,,,,,2 reactions in 2 months,Holmes,Freshman,,,,
Special Ed - Learning Disabilities,11/2/15,x,x,,,,,,,,,,,,Poultry,,Akers,Freshman,,,,
,11/3/15,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Marketing ,11/11/15,,,,x,,x,x,,,,,,,minor others,,Bailey,Incoming Freshman,several,,,
,11/12/15,,,,,,,,,x,,,,,,,Unknown,Freshman,,,,
Neuroscience,11/19/15,,,,,,,,,,x,,,,,,Snyder,Freshman,,,,
Criminal Justice,11/20/15,,,,,,,,,,,,,,,"Can't keep anything down, only eating F. Pebbles, wants out of meal plan",Brody,Freshman,,,,
,11/23/15,,x,,,,,,,x,,,,,"Onion, garlic, apple, pear",,Holmes,Freshman,6/2/16,X,,
,11/30/15,,x,,,,,,x,,,,,,,,Hubbard,Freshman,,,,
Kinesiology,12/8/15,,,,,,,,,x,,,,,,,Shaw,Sophomore,,,,
Urban And Regional Planning,12/11/15,,,,,x,,,,,,,,,,,Owen,Senior,,,,
Human Resources And Labor Rel,12/11/15,,,,,,,,,x,,,,,,,Owen,Graduate,,,,
,12/11/15,,,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
,12/21/15,,,,,,,,,x,,,,,,,Landon,Freshman,,,,
,1/14/16,,,,,,,,,x,,,,,,cross contact,Landon,Freshman,,,,
 ,1/20/16,,,,,,,,,x,,,,,,GF diet - Needs to know what to do,Unknown,Unknown,,,,
Intergrative Biology ,2/12/16,,x,,,,,,,x,,,,,,,Brody,Unknown,,,,
Hospitality Business,2/29/16,,,,,,,,x,,,,,,"Nuts, beans, peas",,Akers,Incoming Freshman,,,,
Engineering,3/20/16,,,,,,,,,,,,,,Crohns,,Holden,Incoming Freshman,,X,,
Zoology,3/20/16,,,,,,,,,,,,,,Unknown reaction,possibly soy sauce,Landon,Unknown,several,,,
,4/3/16,,,,,,,,,x,,,,,,,Landon,Unknown,,,,
,4/4/16,,,,,,,,,x,,,,,Corn,,Unknown,Incoming Freshman,,,,
Business ,4/11/16,x,x,,x,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
,4/13/16,,,,,,,,,x,,,,,,Newly celiac,Off Campus,Employee,Engineering Dean,,,
,4/20/16,,,,,x,x,,,,,,,,,Allergic reaction at Food Truck,Off Campus,Unknown,,,,
,4/20/16,,,,,x,,,,,,,,,,Cross Contact,Landon,Unknown,,,,
,4/20/16,,,,,,,,,,,,,,Alcohol/pork,,Landon,Unknown,,,,
,4/22/16,,,,,,,,,x,,,,,,FT options?,Off Campus,Unknown,,,,
,4/23/16,,,,x,,,,,,,,,,,Allergic reaction ,Case,Freshman,,,,
Intergrative Biology ,5/5/16,,x,,,,,,,x,,,,,,,Snyder,Sophomore,,,,
,5/14/16,,,,,,x,,,,,,,,,,Unknown,Prospective,,,,
,5/16/16,,,,,x,x,,,,,,,,,wrong info when asked a FTE,Brody,Unknown,,,,
Prevet,5/19/16,,,,,,,,,x,,,,,,Newly celiac,Wonders,Incoming Freshman,10/20/16,,,
,5/21/16,,,,,,,,,,,,,,,Clean eating on campus,Off Campus,Incoming Freshman,10/20/16,,,
,5/24/16,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
,6/10/16,,,,,x,x,,,,,,,,,,Holden,Incoming Freshman,10/20/16,X,,
Athletic Training ,6/13/16,,x,,x,x,,,,,,,,,Coconut,,Holden,Incoming Freshman,10/20/16,,,
,6/14/16,,,,,,,,,,,,x,,,,Yakeley,Freshman,,,,
,6/20/16,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,10/20/16,,,
Computer Science,6/20/16,,,,,x,x,,,,,,,,,allergic reaction at AOP,Holden,Incoming Freshman,10/20/16,,,
,6/28/16,,,,,x,x,,,,x,,,,Nuts,,Mason,Incoming Freshman,10/20/16,,,
Business,7/5/16,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,9/14/16,,,
,7/15/16,,,,,x,,,,,,,,,,,Holmes,Incoming Freshman,10/20/16,X,,
Public Policy,7/22/16,,,,,,,,,,,,,,Thyroid issue,wants out of mealplan to buy everything at Fresh Thyme,Gilchrist,Sophomore,10/20/16,X,,
Envir Studies & Sustainability,7/23/16,,,,,,,,,x,,,,,Celiac,,McDonel,Transfer,10/20/16,,,
,7/26/16,,,,,,,,,,x,,,,,,Emmons,Incoming Freshman,10/20/16,,,
Lyman Briggs,7/26/16,,x,,,x,x,x,,,,,,,"citrus, peas, beans",,Holmes,Transfer,10/20/16,,,
Engineering,7/26/16,,x,,,,,,,,,,,,,,Case,Incoming Freshman,10/20/16,,,
,8/4/16,,,,,,,,,,,,,,,Looking to eat healthy,Wonders,Incoming Freshman,,,,
,8/9/16,,,,,,,,,,,,,,,Anorexic,Case,Graduate,10/20/16,X,,
,8/9/16,,,,,,,,,,,,,,Gastroparesis,,Owen,Incoming Freshman,10/20/16,,,
Intr Studies In Social Science,8/10/16,,x,,,,,,,,,,,,"Cheese, sugar",,Akers,Incoming Freshman,10/20/16,,,
Kinesiology,8/10/16,,,,,x,,,,,,,,,,,Armstrong,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,,,,,,,,Armstrong,Incoming Freshman,10/20/16,,,
History Education,8/10/16,,,,,,x,,,,,,,,,,Armstrong,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,x,,,,,,,,,,,Armstrong,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,,,,,,Type 1 Diabetic,,Bailey,Incoming Freshman,10/20/16,,,
Civil Engineering ,8/10/16,,,,,,,,,x,,,,,,,Bailey,Incoming Freshman,,,,
,8/10/16,,,,,x,,,,,,,,,,,Bailey ,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,x,,,,,,,Bryan,Incoming Freshman,10/20/16,,,
Economics,8/10/16,,,,,x,,,,,,,,,,,Brody,Incoming Freshman,10/20/16,,,
Kinesiology,8/10/16,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,,,,,,Diabetic,,Bryan,Incoming Freshman,10/20/16,,,
Music Education,8/10/16,,,,,,x,,,,,,,,Almonds,,Campbell,Incoming Freshman,10/20/16,,,
Engineering,8/10/16,,,,,x,,,,,,,,,,,Case,Incoming Freshman,10/20/16,,,
Psychology,8/10/16,,,,,,,,,x,,,,,Celiac,,Case,Incoming Freshman,10/20/16,,,
Advertising,8/10/16,,,,,x,,,,,,,,,Peanut oil,,Case,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,x,,,,,,,Case,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,x,x,,,,,,,,,,Case,Incoming Freshman,10/20/16,,,
Business ,8/10/16,,,,,,,,,,,,,,Coconut,,Case,Incoming Freshman,,,,
Envir Studies & Sustainability ,8/10/16,,,,,,x,,,,,,,,,,Case,Incoming Freshman,,,,
Engineering,8/10/16,,,,,,,,,,,,,,,,Holden,Incoming Freshman,10/20/16,,,
Engineering,8/10/16,,,,x,,,,,,,,,,,,Holden,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,x,x,,,,,,,,Nuts,,Holden,Incoming Freshman,10/20/16,,,
Engineering,8/10/16,,,,,x,x,,,,,,,,Nuts,,Holden,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/10/16,,x,,,,,,,,,,,,Onions,,Holmes,Unknown,10/20/16,,,
Engineeringerence,8/10/16,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/10/16,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/10/16,,x,,,,,,,x,,,,,Avoids refined sugars (just honey/molasses),,Holmes,Incoming Freshman,10/20/16,,,
Business ,8/10/16,,,,,x,x,x,,,,,,,Sesame seeds and oil,,Holmes,Incoming Freshman,10/20/16,,,
Lyman Briggs,8/10/16,,,,,,,,,,,,,,Type 1 Diabetic,,Holmes,Incoming Freshman,10/20/16,,,
Intr Studies In Social Science,8/10/16,,,,,,x,,,,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,x,,,,,,,Hubbard,Incoming Freshman,10/20/16,,,
,8/10/16,,,,x,,,,,,,,,,,,Hubbard,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,,,,,,Diabetic,,Hubbard,Incoming Freshman,10/20/16,,,
Biomedical Laboratory Science,8/10/16,,x,,,,,,,x,,,,,,,Mason,Incoming Freshman,10/20/16,,,
,8/10/16,,,x,,,,,,,,,,,,,McDonel,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,x,,,,,,,McDonel,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,x,,,,,,,,,,,McDonel,Incoming Freshman,10/20/16,,,
,8/10/16,,x,,,,,,,,,,,,,,Gallery,Incoming Freshman,10/20/16,,,
Premed,8/10/16,,,,,x,x,,,,,,,,Nuts,,Rather,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,,,,,,,,Wilson,Incoming Freshman,10/20/16,,,
Computer Science ,8/10/16,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,10/20/16,,,
Athletic Training ,8/10/16,,,,,,,,,,,,,,Type 1 Diabetic,,Wilson,Incoming Freshman,10/20/16,,,
Engineering,8/10/16,,,,,x,,,,,,,,,,,Wilson,Incoming Freshman,,,,
 ,8/10/16,,,,x,,,,,,,,,,,,Wonders,Incoming Freshman,10/20/16,,,
Kinesiology,8/10/16,,,,,x,,,,,,,,,,,Yakeley,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,x,,,,,,,,,,,Yakeley,Incoming Freshman,10/20/16,,,
,8/10/16,,,,,,,,,x,,,,,,9/5/19: concern about outside food in Thrive,Unknown,Incoming Freshman,10/20/2016; 9/5/19,,,
,8/10/16,,,,,,,,,,,,,,,,Unknown,Incoming Freshman,10/20/16,,,
Psychology,8/11/16,,,,,,,,,,,,,,FODMAP,,Abbott,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,,,,,,,,,,"Oregano, Little Caesars",,Armstrong,Incoming Freshman,10/20/16,,,
Advertising,8/11/16,,,,,,,,,,,x,,,,,Brody,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,,,,,,x,,,,,,Butterfield,Incoming Freshman,10/20/16,,,
Social Relations And Policy ,8/11/16,,,,,,x,,x,,,,,,,,Case,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,x,,,,,,,,,Red onion,,Emmons,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,x,,,,,,,,,"Peanut butter, orange juice",,Emmons,Incoming Freshman,10/20/16,,,
Dietetics,8/11/16,,,x,,x,,,,,,,,,,,Holden,Incoming Freshman,10/20/16,,,
Neuroscience,8/11/16,,,,,x,x,,,,,,,,Chickpeas,,Holmes,Incoming Freshman,10/20/16,,,
Hospitality Business,8/11/16,,,,x,,,,,,,,,,,,Holmes,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,,,,,,,x,x,,Colitis,,Holmes,Incoming Freshman,10/20/16,,,
,8/11/16,x,,,,,,,,,,,,,,,Hubbard,Incoming Freshman,10/20/16,,,
Communication,8/11/16,,x,,,,x,,x,x,,,,,,,Hubbard,Incoming Freshman,10/20/16,,,
Animal Science,8/11/16,,,,,,,,,,,,,,IBS,,Off Campus,Incoming Freshman,,,,
Arts and Humanities,8/11/16,,,,,,,,,,,,,,Cinnamon toast crunch,,Snyder,Incoming Freshman,10/20/16,,,
Business,8/11/16,,,,,,,,,,,x,,,,,Snyder,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,,,,,,,,,,"Strawberries, watermelon",,Wilson,Incoming Freshman,,,,
Envionmental Engineering,8/11/16,,,,,,,,,,,x,,,,,Wilson,Incoming Freshman,10/20/16,,,
Neuroscience,8/11/16,,,,,,,,,,,,,,Organic,,Wilson,Incoming Freshman,10/20/16,,,
,8/11/16,,,,x,,,,x,x,,,,,,,Wonders,Incoming Freshman,10/20/16,,,
Education,8/11/16,,,,,x,x,,,,,,,,Diabetic,,Wonders,Incoming Freshman,10/20/16,,,
Criminal Justice,8/11/16,,,,,,,,,,,x,,,,,Wonders,Incoming Freshman,10/20/16,,,
,8/11/16,,,,,,,,,,,,x,,,,Yakeley,Incoming Freshman,,,,
,8/12/16,,x,x,,,,,x,x,,,,,,,Snyder,Graduate,10/20/16,X,,
Business,8/15/16,,x,,,,,,,,,,,,Highly lactose intolerant,,Holden,Incoming Freshman,10/20/16,,,
Packaging ,8/17/16,,,,,,,,,x,,,,,,,Abbott,Sophomore,10/20/16,,,
Business,8/17/16,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,10/20/16,,,
Business ,8/17/16,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,x,x,,,,,,,,Nuts,,Akers,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,x,,,,,,,,,,Brody,Incoming Freshman,10/20/16,,,
,8/17/16,,x,,,,,,,,,,,,,,Case,Incoming Freshman,10/20/16,,,
Social Work,8/17/16,x,,,,,,,,x,,,,,,,Holden,Incoming Freshman,10/20/16,,,
,8/17/16,,,,,,,,,,,x,,,,,Holden,Incoming Freshman,10/20/16,,,
